module_path,suggested_layer,reason
agent_kernel.autonomous_loop,,Not yet mapped in fusion docs
agent_kernel.capability_extension,,Not yet mapped in fusion docs
agent_kernel.goal_compiler,,Not yet mapped in fusion docs
agent_kernel.handoff_orchestrator,,Not yet mapped in fusion docs
agent_kernel.memory_kernel,,Not yet mapped in fusion docs
agent_kernel.meta_governance,,Not yet mapped in fusion docs
agent_kernel.persona_kernel,,Not yet mapped in fusion docs
agent_kernel.task_graph,,Not yet mapped in fusion docs
agent_kernel.unified_judge,,Not yet mapped in fusion docs
agent_kernel.world_interface,,Not yet mapped in fusion docs
application.task_service.scheduler,,Not yet mapped in fusion docs
application.task_service.service,,Not yet mapped in fusion docs
autonomous_planner.task_decomposer,,Not yet mapped in fusion docs
bench.eval.run_local_eval,,Not yet mapped in fusion docs
config.default_skill_config,,Not yet mapped in fusion docs
config.feature_flags,,Not yet mapped in fusion docs
config.resource_paths,,Not yet mapped in fusion docs
config.runtime_modes,,Not yet mapped in fusion docs
config.safety_controls,,Not yet mapped in fusion docs
config.settings,,Not yet mapped in fusion docs
core.action_bridge.action_bridge_kernel,,Not yet mapped in fusion docs
core.action_bridge.action_dsl,,Not yet mapped in fusion docs
core.action_bridge.background_run_ledger,,Not yet mapped in fusion docs
core.action_bridge.device_session,,Not yet mapped in fusion docs
core.action_bridge.evidence_capture,,Not yet mapped in fusion docs
core.action_bridge.handoff_inbox,,Not yet mapped in fusion docs
core.action_bridge.notification_center,,Not yet mapped in fusion docs
core.action_bridge.real_world_scenario_harness,,Not yet mapped in fusion docs
core.action_bridge.schemas,,Not yet mapped in fusion docs
core.action_bridge.side_effect_executor,,Not yet mapped in fusion docs
core.action_bridge.storage,,Not yet mapped in fusion docs
core.action_bridge.tool_adapter_registry,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.action_bridge,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.ai_shape_core,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.architecture_boundary,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.autonomous_loop,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.autonomous_runtime_fabric,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.autonomy_orchestrator,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.base_device_capability,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.capability_extension,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.device_capabilities,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.device_timeout_resilience,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.goal_compiler,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.handoff_orchestrator,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.hub_boundary_contract,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.layer_integrity_gate_v2,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.memory_kernel,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.memory_kernel_v2,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.meta_autonomy_platform,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.meta_governance,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.operating_agent,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.operating_spine,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.operations_intelligence,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.persona_kernel,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.personal_execution_agent,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.personal_operating_loop_v2,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.personalization,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.production_control_plane,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.real_connector_execution,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.real_tool_binding,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.real_work_entry,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.release_hardening,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.rollback_repair_planner_v7,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.runtime_activation,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.self_evolution_ops,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.self_evolving_os_command_center_v7,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.task_graph,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.top_ai_operator,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.top_ai_operator_v25,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.unified_judge,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.v56_to_v65_operating_agent,,Not yet mapped in fusion docs
core.agent_kernel.adapters.orchestration.world_interface,,Not yet mapped in fusion docs
core.agent_kernel.autonomous_loop,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.approval_interrupt,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.autonomy_orchestrator,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.capability_gap,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.continuous_task_runner,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.extension_sandbox,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.goal_strategy_kernel,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.memory_kernel,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.quality_evaluator,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.schemas,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.storage,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.strategy_evolver,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.task_graph_compiler,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.trace_audit,,Not yet mapped in fusion docs
core.agent_kernel.autonomy.world_interface,,Not yet mapped in fusion docs
core.agent_kernel.goal_compiler,,Not yet mapped in fusion docs
core.agent_kernel.memory_kernel,,Not yet mapped in fusion docs
core.agent_kernel.meta_governance,,Not yet mapped in fusion docs
core.agent_kernel.persona_kernel,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.durable_task_state,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.execution_planner,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.experience_writer,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.goal_compiler,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.personal_execution_agent,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.policy_judge,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.result_verifier,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.schemas,,Not yet mapped in fusion docs
core.agent_kernel.personal_agent.task_graph,,Not yet mapped in fusion docs
core.agent_kernel.task_graph,,Not yet mapped in fusion docs
core.agent_kernel.unified_judge,,Not yet mapped in fusion docs
core.agent_kernel.world_interface,,Not yet mapped in fusion docs
core.ai_shape_core.ai_shape_core,,Not yet mapped in fusion docs
core.ai_shape_core.capability_expansion,,Not yet mapped in fusion docs
core.ai_shape_core.constitution_judge,,Not yet mapped in fusion docs
core.ai_shape_core.finalizer,,Not yet mapped in fusion docs
core.ai_shape_core.finalizer_schemas,,Not yet mapped in fusion docs
core.ai_shape_core.goal_strategy_kernel,,Not yet mapped in fusion docs
core.ai_shape_core.golden_paths,,Not yet mapped in fusion docs
core.ai_shape_core.legacy_adapter,,Not yet mapped in fusion docs
core.ai_shape_core.main,,Not yet mapped in fusion docs
core.ai_shape_core.memory_kernel,,Not yet mapped in fusion docs
core.ai_shape_core.schemas,,Not yet mapped in fusion docs
core.ai_shape_core.shape_scorecard,,Not yet mapped in fusion docs
core.ai_shape_core.storage,,Not yet mapped in fusion docs
core.ai_shape_core.task_graph_engine,,Not yet mapped in fusion docs
core.ai_shape_core.world_interface,,Not yet mapped in fusion docs
core.audit,,Not yet mapped in fusion docs
core.authorization.action_risk_attestation,,Not yet mapped in fusion docs
core.authorization.authorization_intent_gateway,,Not yet mapped in fusion docs
core.authorization.consent_scope_model,,Not yet mapped in fusion docs
core.authorization.user_confirmation_contract,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.schemas,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.storage,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v227_control_tower,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v228_runtime_mesh_registry,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v229_service_discovery,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v230_config_overlay_manager,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v231_secret_reference_vault,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v232_policy_enforcement_point,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v233_tool_broker,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v234_workflow_template_registry,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v235_execution_lease_manager,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v236_state_checkpoint_graph,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v237_replay_lab,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v238_deterministic_verifier,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v239_self_healing_planner,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v240_degradation_controller,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v241_alert_router,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v242_trust_zone_manager,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v243_artifact_signer,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v244_dependency_lockfile_builder,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v245_cache_coordinator,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v246_queue_shard_planner,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v247_resource_forecast_engine,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v248_model_fleet_manager,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v249_memory_tier_manager,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v250_evidence_bundle_builder,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v251_run_replay_exporter,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v252_operator_console,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v253_integration_smoke_test,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v254_security_posture_review,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v255_fabric_readiness_board,,Not yet mapped in fusion docs
core.autonomous_runtime_fabric.v256_autonomous_runtime_fabric_kernel,,Not yet mapped in fusion docs
core.autonomy.approval_interrupt,,Not yet mapped in fusion docs
core.autonomy.autonomy_orchestrator,,Not yet mapped in fusion docs
core.autonomy.capability_gap,,Not yet mapped in fusion docs
core.autonomy.continuous_task_runner,,Not yet mapped in fusion docs
core.autonomy.extension_sandbox,,Not yet mapped in fusion docs
core.autonomy.goal_strategy_kernel,,Not yet mapped in fusion docs
core.autonomy.memory_kernel,,Not yet mapped in fusion docs
core.autonomy.quality_evaluator,,Not yet mapped in fusion docs
core.autonomy.schemas,,Not yet mapped in fusion docs
core.autonomy.storage,,Not yet mapped in fusion docs
core.autonomy.strategy_evolver,,Not yet mapped in fusion docs
core.autonomy.task_graph_compiler,,Not yet mapped in fusion docs
core.autonomy.trace_audit,,Not yet mapped in fusion docs
core.autonomy.world_interface,,Not yet mapped in fusion docs
core.bootstrap,,Not yet mapped in fusion docs
core.collaboration.agent_role_registry,,Not yet mapped in fusion docs
core.collaboration.collaboration_protocol,,Not yet mapped in fusion docs
core.collaboration.collaborative_autonomy_kernel,,Not yet mapped in fusion docs
core.collaboration.consensus_gate,,Not yet mapped in fusion docs
core.collaboration.delegation_planner,,Not yet mapped in fusion docs
core.continuous.attention_manager,,Not yet mapped in fusion docs
core.continuous.context_refresh_planner,,Not yet mapped in fusion docs
core.continuous.continuous_intelligence_kernel,,Not yet mapped in fusion docs
core.continuous.initiative_engine,,Not yet mapped in fusion docs
core.continuous.runtime_budget_manager,,Not yet mapped in fusion docs
core.device_timeout_resilience.heartbeat,,Not yet mapped in fusion docs
core.device_timeout_resilience.job_queue,,Not yet mapped in fusion docs
core.device_timeout_resilience.operator_v26,,Not yet mapped in fusion docs
core.device_timeout_resilience.retry_planner,,Not yet mapped in fusion docs
core.device_timeout_resilience.schemas,,Not yet mapped in fusion docs
core.device_timeout_resilience.storage,,Not yet mapped in fusion docs
core.device_timeout_resilience.supervisor,,Not yet mapped in fusion docs
core.device_timeout_resilience.task_splitter,,Not yet mapped in fusion docs
core.device_timeout_resilience.timeout_policy,,Not yet mapped in fusion docs
core.diagnostics,,Not yet mapped in fusion docs
core.digital_twin.decision_twin,,Not yet mapped in fusion docs
core.digital_twin.habit_twin,,Not yet mapped in fusion docs
core.digital_twin.identity_drift_guard,,Not yet mapped in fusion docs
core.digital_twin.personal_digital_twin,,Not yet mapped in fusion docs
core.digital_twin.preference_twin,,Not yet mapped in fusion docs
core.digital_twin.risk_twin,,Not yet mapped in fusion docs
core.domain.tasks.specs,,Not yet mapped in fusion docs
core.domain.tasks.state_machine,,Not yet mapped in fusion docs
core.execution_contract.confirmation_ledger,,Not yet mapped in fusion docs
core.execution_contract.execution_contract,,Not yet mapped in fusion docs

# TRUNCATED: 1857 total uncovered, showing first 200
